Country,Year,Population,GDP (US$),gdp_cap,Renewable Capacity,Oil Capacity,RC/cap (Watt),Continent
Egypt,2004,74172073,78782467532,1062.158092,145.6,810,1.963002976,Africa
El Salvador,2004,6023801,13724810900,2278.43033,151.2,0,25.10043077,NAM
Ethiopia,2004,74239508,10131187261,136.46625,7.3,0,0.098330393,Africa
Finland,2004,5228172,1.97117E+11,37702.84538,82,260,15.68425828,Europe
France,2004,62704901,2.11574E+12,33741.26192,369,1982.293068,5.884707481,Europe
Germany,2004,82516260,2.80919E+12,34044.05363,17524.2,2320.095616,212.3726887,Europe
Greece,2004,10955141,2.40521E+11,21955.10414,471,412,42.99351327,Europe
Guatemala,2004,12682108,23577286227,1859.098363,29,0,2.286686094,NAM
Honduras,2004,7282953,8772169959,1204.479826,2.4,0,0.329536659,NAM
Hungary,2004,10107146,1.04141E+11,10303.70419,0,165,0,Europe
Iceland,2004,292074,13825302536,47334.93065,202,0,691.605552,Europe
India,2004,1129623466,7.09149E+11,627.7742417,3007.81,2558.406448,2.662666004,Asia
Indonesia,2004,223285666,2.56837E+11,1150.261367,820,1004.15,3.672425618,Asia
Iran,2004,68951279,1.90043E+11,2756.198822,24.9,1692,0.361124556,Asia
Iraq,2004,26313838,36627901762,1391.963489,0,718,0,Asia
Ireland,2004,4070262,1.94015E+11,47666.54708,336.4,75,82.6482423,Europe
Israel,2004,6809000,1.35571E+11,19910.61067,0,270,0,Asia
Italy,2004,57685327,1.80323E+12,31259.7165,1800,2497,31.20377562,Europe
Japan,2004,127761000,4.89312E+12,38298.98017,2436,4531.1295,19.06685139,Asia
Jordan,2004,5580241,11411390409,2044.963723,1.4,0,0.250885222,Asia
Kazakhstan,2004,15012984,43151647003,2874.288483,0,330,0,Asia
Kenya,2004,35635267,16095337094,451.6687666,128,0,3.59194727,Africa
South Korea,2004,23732740,0,0,38,0,1.601163625,Asia
Kuwait,2004,2200498,59439090601,27011.654,0,936,0,Asia
Lithuania,2004,3377075,22627507452,6700.327192,0,240.9863014,0,Europe
Malaysia,2004,25190647,1.24749E+11,4952.213958,0,527,0,Asia
Mexico,2004,104514934,7.82241E+11,7484.486399,994,1463,9.510602571,NAM
Morocco,2004,30115196,59626020162,1979.931333,63.1,154,2.095287708,Africa
Netherlands,2004,16281779,6.57172E+11,40362.39478,1125,1283.5,69.09564366,Europe
New Zealand,2004,4087500,1.03905E+11,25420.23488,544,104,133.088685,Oceania
Nicaragua,2004,5364930,5795568205,1080.269119,77.5,0,14.44566844,NAM
Nigeria,2004,135320420,1.36386E+11,1007.874342,0,360,0,Africa
Norway,2004,4591910,2.64512E+11,57603.83602,152,316,33.10169407,Europe
Oman,2004,2445524,24763712874,10126.13774,0,85,0,Asia
Pakistan,2004,156664698,1.0776E+11,687.8364127,0,255.6463014,0,Asia
Papua New Guinea,2004,6354247,3927157867,618.0367032,6,0,0.944250357,Oceania
Peru,2004,27624226,66768703498,2417.034363,0,223,0,SAM
Philippines,2004,84710544,95002028505,1121.490006,1847.5,280,21.80956364,Asia
Poland,2004,38182222,2.5511E+11,6681.386472,40,484.7841096,1.047607968,Europe
Portugal,2004,10483861,1.89035E+11,18031.00042,569,306,54.27389776,Europe
Qatar,2004,753332,31734065934,42124.94084,0,137,0,Asia
Romania,2004,21451748,74972669057,3494.944517,0,609,0,Europe
Russia,2004,144067316,5.91017E+11,4102.364833,65,5246,0.451177976,Asia
Saudi Arabia,2004,23132686,2.58742E+11,11185.13704,0,2074,0,Asia
Singapore,2004,4166664,1.15035E+11,27608.53737,0,1406,0,Asia
Slovakia,2004,5372280,57332015148,10671.82186,0,122,0,Europe
South Africa,2004,47291610,2.55807E+11,5409.133489,3.2,517,0.067665279,Africa
Spain,2004,42921895,1.06709E+12,24861.2828,8350,1372,194.539407,Europe
Sweden,2004,8993531,3.85118E+11,42821.67314,479,454,53.26050469,Europe
Switzerland,2004,7389625,4.05531E+11,54878.471,24,140,3.247796742,Europe
Thailand,2004,64995303,1.72896E+11,2660.126835,0,1067.5,0,Asia
Trinidad and Tobago,2004,1290115,13280275123,10293.86925,0,165,0,NAM
Tunisia,2004,10022278,31183059012,3111.374381,19,0,1.895776589,Africa
Turkey,2004,67010930,4.08876E+11,6101.632117,35.5,613,0.529764324,Europe
Turkmenistan,2004,4703396,6838351088,1453.917784,0,251.0273973,0,Asia
Ukraine,2004,47451626,67220154164,1416.60381,71.4,799,1.504690271,Europe
United Arab Emirates,2004,4068577,1.47824E+11,36333.18733,0,711,0,Asia
United Kingdom,2004,59987905,2.42181E+12,40371.71083,941,1847.561644,15.68649547,Europe
United States,2004,292805298,1.22137E+13,41712.80107,8719,17125,29.77746666,NAM
Uruguay,2004,3321486,13686329890,4120.544205,0,0,0,SAM
Uzbekistan,2004,25864350,12030023548,465.1198869,0,232,0,Asia
Venezuela,2004,25996594,1.12453E+11,4325.696756,0,1284,0,SAM
Vietnam,2004,83062819,45427854693,546.909619,0.747,11,0.008993193,Asia
Algeria,2005,33149720,1.03198E+11,3113.094883,0,442.9729863,0,Africa
Argentina,2005,38892924,1.98737E+11,5109.852245,27.8,615,0.714782977,SAM
Australia,2005,20394800,6.95075E+11,34080.9999,794.911,718,38.97616059,Oceania
Austria,2005,8227829,3.15974E+11,38403.13388,846.219,200.8219178,102.8483942,Europe
Azerbaijan,2005,8391850,13245716099,1578.40239,0,325,0,Asia
Bahrain,2005,889157,15968723404,17959.39683,0,260,0,Asia
Bangladesh,2005,139035505,69442943089,499.4619402,0,36,0,Asia
Belarus,2005,9663915,30207567317,3125.810535,0,460,0,Europe
Belgium,2005,10478617,3.85571E+11,36795.97688,169,756,16.12808255,Europe
Brazil,2005,186127108,8.91634E+11,4790.456566,29,1941.851,0.155807503,SAM
Bulgaria,2005,7658972,29869283400,3899.907638,8,205,1.044526602,Europe
Canada,2005,32243753,1.17311E+12,36382.50792,694,1895.937653,21.52354907,NAM
Chile,2005,16182713,1.22965E+11,7598.528877,2,238,0.123588671,SAM
China,2005,1303720000,2.28597E+12,1753.417829,1222.9,8463.418822,0.938008161,Asia
Colombia,2005,42647731,1.45619E+11,3414.465158,0,325,0,SAM
Costa Rica,2005,4285504,20040642477,4676.379366,234.3,0,54.67268261,NAM
Croatia,2005,4310145,45780237257,10621.50746,0,0,0,Europe
Curacao,2005,137658,0,0,0,320,0,SAM
Czech Republic,2005,10211216,1.37143E+11,13430.6699,1,193.3915068,0.097931529,Europe
Denmark,2005,5419432,2.64467E+11,48799.8256,3130.8,188.7726027,577.6989175,Europe
Ecuador,2005,13825839,41507085000,3002.138604,0,177,0,SAM
Egypt,2005,75523576,89600665557,1186.393313,145.6,810,1.927874814,Africa
El Salvador,2005,6052124,14698000000,2428.568879,151.2,0,24.98296466,NAM
Ethiopia,2005,76346310,12401139454,162.4327286,7.3,0,0.095616933,Africa
Finland,2005,5246096,2.04809E+11,39040.28888,82,261.0684932,15.63067088,Europe
France,2005,63179356,2.19613E+12,34760.18502,703,1978.216384,11.12705232,Europe
Germany,2005,82469422,2.8458E+12,34507.36881,20304.2,2322.103836,246.2027683,Europe
Greece,2005,10987314,2.47783E+11,22551.73577,492,418,44.77891503,Europe
Guatemala,2005,12948292,26783543667,2068.500129,29,0,2.239677635,NAM
Honduras,2005,7458982,9672023050,1296.694784,2.7,0,0.361979691,NAM
Hungary,2005,10087065,1.13237E+11,11225.93258,0,165,0,Europe
Iceland,2005,296734,16852963067,56794.85016,232,0,781.8450194,Europe
India,2005,1147609924,8.20382E+11,714.8610154,4445.467,2558.406448,3.87367424,Asia
Indonesia,2005,226289468,2.85869E+11,1263.287332,850,1004.15,3.756250821,Asia
Iran,2005,69762345,2.26452E+11,3246.051122,37,1692,0.53037208,Asia
Iraq,2005,26922279,49954890353,1855.522348,0,728,0,Asia
Ireland,2005,4159914,2.11798E+11,50914.03129,493.3,75,118.5841823,Europe
Israel,2005,6930100,1.42657E+11,20585.13861,1,270,0.144298062,Asia
Italy,2005,57969484,1.85752E+12,32043.14037,2340,2515,40.3660657,Europe
Japan,2005,127773000,4.83147E+12,37812.89502,3183,4531.1295,24.91136625,Asia
Jordan,2005,5765639,12588665303,2183.394643,1.4,0,0.242817839,Asia
Kazakhstan,2005,15147029,57123671734,3771.278957,0,330,0,Asia
Kenya,2005,36624897,18737897745,511.6163943,128,0,3.494890375,Africa
South Korea,2005,23904167,0,0,113,0,4.727209277,Asia
Kuwait,2005,2270196,80798630137,35591.03713,0,936,0,Asia
Lithuania,2005,3322528,26097677572,7854.765279,0,240.9863014,0,Europe
Malaysia,2005,25690615,1.43534E+11,5587.02478,0,522,0,Asia
Mexico,2005,106005199,8.77476E+11,8277.671564,994,1463,9.37689858,NAM
Morocco,2005,30455563,62343022651,2047.015931,64,154,2.101422325,Africa
Netherlands,2005,16319868,6.85093E+11,41979.05585,1275,1273.9,78.1256319,Europe
New Zealand,2005,4133900,1.1472E+11,27751.06547,601,102,145.3832942,Oceania
Nicaragua,2005,5438692,6321335612,1162.289685,87.5,0,16.08842714,NAM
Nigeria,2005,138865014,1.76134E+11,1268.383462,0,405,0,Africa
Norway,2005,4623291,3.08884E+11,66810.47852,265,316,57.31847725,Europe
Oman,2005,2511254,31081991678,12377.08001,0,85,0,Asia
Pakistan,2005,160304007,1.20055E+11,748.9225893,0,268.9532235,0,Asia
Papua New Guinea,2005,6494902,4865892972,749.1865116,36,0,5.542808806,Oceania
Peru,2005,27866140,76060606061,2729.499172,0,223,0,SAM
Philippines,2005,86326251,1.0742E+11,1244.348741,1880.5,280,21.7836403,Asia
Poland,2005,38165445,3.06144E+11,8021.505743,121,506.9146849,3.170407158,Europe
Portugal,2005,10503330,1.9718E+11,18773.12536,1080,306.494411,102.8245328,Europe
Qatar,2005,865410,44530494505,51455.95094,0,137,0,Asia
Romania,2005,21319685,98452791983,4617.929016,1,655,0.046905008,Europe
Russia,2005,143518814,7.64017E+11,5323.463083,89,5313,0.620127756,Asia
Saudi Arabia,2005,23816175,3.2846E+11,13791.45476,0,2102,0,Asia
Singapore,2005,4265762,1.27808E+11,29961.26328,0,1420,0,Asia
Slovakia,2005,5372807,62785305310,11685.75482,0,122,0,Europe
South Africa,2005,47880595,2.88868E+11,6033.101491,3.2,520,0.066832921,Africa
Spain,2005,43653155,1.15329E+12,26419.29686,9970,1377,228.3912812,Europe
Sweden,2005,9029572,3.92218E+11,43437.06312,526,454,58.25303791,Europe
Switzerland,2005,7437115,4.20545E+11,56546.78566,28,140,3.764900771,Europe
Thailand,2005,65416189,1.89319E+11,2894.062656,0,1077.5,0,Asia
Trinidad and Tobago,2005,1296497,15982282462,12327.28071,0,165,0,NAM
Tunisia,2005,10106778,32273007554,3193.204358,19,0,1.879926521,Africa
Turkey,2005,67903461,5.06308E+11,7456.296101,38,613,0.559618014,Europe
Turkmenistan,2005,4754652,8103901996,1704.41538,0,251.0273973,0,Asia
Ukraine,2005,47105171,89239370109,1894.470781,76.6,709,1.626148433,Europe
United Arab Emirates,2005,4588222,1.80617E+11,39365.45964,0,711,0,Asia
United Kingdom,2005,60401206,2.54483E+12,42132.09072,1576,1819.446575,26.09219425,Europe
United States,2005,295516599,1.30366E+13,44114.74778,11181,17339,37.83543814,NAM
Uruguay,2005,3321799,17362857684,5226.9441,0,0,0,SAM
Uzbekistan,2005,26167000,14307509839,546.7768502,0,232,0,Asia
Venezuela,2005,26432445,1.4551E+11,5504.97724,0,1291,0,SAM
Vietnam,2005,83832662,57633255618,687.4797274,1.885,11,0.02248527,Asia
Algeria,2006,33641007,1.17027E+11,3478.710002,0,442.9729863,0,Africa
Argentina,2006,39289876,2.32557E+11,5919.012338,27.8,617,0.707561408,SAM
Australia,2006,20697900,7.47556E+11,36117.48798,883.27,693.8,42.67437759,Oceania
Austria,2006,8268641,3.35999E+11,40635.28182,990.669,200.8219178,119.8103775,Europe
Azerbaijan,2006,8484550,20982986344,2473.081819,0,325,0,Asia
Bahrain,2006,958423,18504760638,19307.50894,0,260,0,Asia
Bangladesh,2006,140921154,71819083684,509.6401899,0,36,0,Asia
Belarus,2006,9604924,36954312354,3847.434124,0,460,0,Europe
Belgium,2006,10547958,4.07918E+11,38672.70594,214,766,20.28828708,Europe
Brazil,2006,188167353,1.10763E+12,5886.391522,237,1942.007,1.259517107,SAM
Bulgaria,2006,7601022,34379808889,4523.050833,27,205,3.552153908,Europe
Canada,2006,32571174,1.31926E+12,40504.06073,1444,1914.215843,44.33367984,NAM
Chile,2006,16354507,1.54788E+11,9464.548507,2,234,0.122290449,SAM
China,2006,1311020000,2.75213E+12,2099.229435,2251.9,9226.54211,1.717670211,Asia
Colombia,2006,43200901,1.61619E+11,3741.092837,0,338,0,SAM
Costa Rica,2006,4345421,22715540324,5227.465952,234.3,0,53.91882628,NAM
Croatia,2006,4311159,50860788253,11797.47447,0,0,0,Europe
Curacao,2006,141239,0,0,0,320,0,SAM
Czech Republic,2006,10238905,1.56264E+11,15261.79759,1,193.3915068,0.097666694,Europe
Denmark,2006,5437272,2.82885E+11,52026.99951,3138.7,188.7726027,577.2563889,Europe
Ecuador,2006,14059379,46802044000,3328.884156,0,177,0,SAM
Egypt,2006,76873670,1.07426E+11,1397.43669,230.6,810,2.999726694,Africa
El Salvador,2006,6079395,15999890000,2631.822739,151.2,0,24.87089587,NAM
Ethiopia,2006,78489205,15280861835,194.6874329,7.3,0,0.09300642,Africa
Finland,2006,5266268,2.16908E+11,41188.0937,86,261.0684932,16.33035007,Europe
France,2006,63621376,2.31859E+12,36443.62631,1427,1959.278877,22.42956833,Europe
Germany,2006,82376451,2.9922E+12,36323.44774,23373.2,2390.383288,283.7364285,Europe
Greece,2006,11020362,2.73318E+11,24801.15778,754,425,68.41880512,Europe
Guatemala,2006,13213330,29744368111,2251.087963,54.2,0,4.10191829,NAM
Honduras,2006,7634295,10841724917,1420.134396,2.9,0,0.379864807,NAM
Hungary,2006,10071370,1.15751E+11,11493.10041,0,165,0,Europe
Iceland,2006,303782,17465318552,57492.93425,422,0,1389.154064,Europe
India,2006,1165486291,9.4026E+11,806.7532806,6324.603,2871.704846,5.42657863,Asia
Indonesia,2006,229318262,3.64571E+11,1589.801489,850,1004.15,3.706638942,Asia
Iran,2006,70554756,2.66299E+11,3774.358055,47,1772,0.666149281,Asia
Iraq,2006,27448124,65140147197,2373.209448,0,743,0,Asia
Ireland,2006,4273591,2.31986E+11,54283.68178,676.5,75,158.2977875,Europe
Israel,2006,7053700,1.54145E+11,21853.14024,1.3,270,0.184300438,Asia
Italy,2006,58143979,1.94792E+12,33501.65817,2618,2526,45.02615825,Europe
Japan,2006,127854000,4.60166E+12,35991.546,4037,4588.4278,31.57507782,Asia
Jordan,2006,5991547,15056929760,2513.028732,1.4,0,0.233662525,Asia
Kazakhstan,2006,15308085,81003884545,5291.575305,0,330,0,Asia
Kenya,2006,37649039,25825524821,685.9544229,128,0,3.399821175,Africa
South Korea,2006,24054866,0,0,214,0,8.896328917,Asia
Kuwait,2006,2373661,1.01549E+11,42781.56475,0,936,0,Asia
Lithuania,2006,3269909,30183575104,9230.707981,0,240.9863014,0,Europe
Malaysia,2006,26201954,1.62691E+11,6209.126167,0,528,0,Asia
Mexico,2006,107560155,9.75387E+11,9068.294218,1077,1463,10.01300156,NAM
Morocco,2006,30804689,68640825481,2228.258999,64.8,154,2.103575855,Africa
Netherlands,2006,16346101,7.33341E+11,44863.35063,1614,1273.886,98.73914275,Europe
New Zealand,2006,4184600,1.11539E+11,26654.5932,602,102.4191781,143.860823,Oceania
Nicaragua,2006,5513757,6763418646,1226.644309,87.5,0,15.86939722,NAM
Nigeria,2006,142538305,2.36104E+11,1656.424794,0,230,0,Africa
Norway,2006,4660677,3.45581E+11,74148.32008,284,316,60.93535338,Europe
Oman,2006,2580753,37215779714,14420.51204,0,201,0,Asia
Pakistan,2006,164022626,1.37264E+11,836.8605262,0,271.4645016,0,Asia
Papua New Guinea,2006,6646891,8355006707,1256.979648,36,0,5.416065947,Oceania
Peru,2006,28102055,88643193062,3154.331349,0,223,0,SAM
Philippines,2006,87888675,1.27653E+11,1452.438089,1880.5,275.5,21.39638583,Asia
Poland,2006,38141267,3.44622E+11,9035.410467,172,497.6567945,4.509551295,Europe
Portugal,2006,10522288,2.08582E+11,19822.84603,1709,306.494411,162.4171473,Europe
Qatar,2006,1022704,60882142857,59530.561,0,137,0,Asia
Romania,2006,21193760,1.22023E+11,5757.496429,1,655,0.047183699,Europe
Russia,2006,143049637,9.89931E+11,6920.189125,97,5429,0.678086307,Asia
Saudi Arabia,2006,24498313,3.769E+11,15384.73836,0,2102,0,Asia
Singapore,2006,4401365,1.4863E+11,33769.15416,0,1422,0,Asia
Slovakia,2006,5373054,70708098106,13159.75944,0,122,0,Europe
South Africa,2006,48489464,3.03861E+11,6266.533987,3.2,520,0.065993718,Africa
Spain,2006,44397319,1.25934E+12,28365.31349,11852,1361.572603,266.9530563,Europe
Sweden,2006,9080505,4.23093E+11,46593.60216,590,454,64.97435991,Europe
Switzerland,2006,7483934,4.43802E+11,59300.61722,30,140,4.008586928,Europe
Thailand,2006,65812540,2.21758E+11,3369.543198,30.71,1099.5,0.466628396,Asia
Trinidad and Tobago,2006,1302552,18369361094,14102.59329,0,165,0,NAM
Tunisia,2006,10201211,34377310293,3369.924443,19,0,1.862523969,Africa
Turkey,2006,68756809,5.57058E+11,8101.856924,84.5,613,1.228969192,Europe
Turkmenistan,2006,4810114,10276674365,2136.472101,0,251.0273973,0,Asia
Ukraine,2006,46787786,1.11885E+11,2391.323934,76.6,733,1.637179413,Europe
United Arab Emirates,2006,5300172,2.22117E+11,41907.42147,0,711,0,Asia
United Kingdom,2006,60846820,2.71706E+12,44654.09692,1969,1835.512329,32.35994913,Europe
United States,2006,298379912,1.38146E+13,46298.73144,13898,17440,46.57820262,NAM
Uruguay,2006,3325403,19579457966,5887.845162,0,0,0,SAM
Uzbekistan,2006,26488250,17330833853,654.2838373,0,232,0,Asia
Venezuela,2006,26850190,1.83478E+11,6833.378912,0,1294,0,SAM
Vietnam,2006,84617545,66371664817,784.3723759,3.424,11,0.040464421,Asia
Algeria,2007,34166976,1.34977E+11,3950.512993,0,442.9729863,0,Africa
Argentina,2007,39684303,2.87531E+11,7245.446857,27.8,628,0.700528872,SAM
Australia,2007,20827600,8.53955E+11,41001.14298,1325.708,732.9,63.65150089,Oceania
Austria,2007,8295487,3.88691E+11,46855.77175,1015.359,200.8219178,122.3989622,Europe
Azerbaijan,2007,8581300,33050343783,3851.437869,0,325,0,Asia
Bahrain,2007,1035924,21730000000,20976.44229,0,260,0,Asia
Bangladesh,2007,142660381,79611888213,558.0518407,0,36,0,Asia
Belarus,2007,9560953,45277399814,4735.657608,0,460,0,Europe
Belgium,2007,10625700,4.70324E+11,44262.896,296,781,27.85698825,Europe
Brazil,2007,190130445,1.39711E+12,7348.187963,247,1964.105,1.299108094,SAM
Bulgaria,2007,7545338,44405101470,5885.104348,30,175,3.975965026,Europe
Canada,2007,32889025,1.46882E+12,44659.89514,1866,1906.674359,56.73625168,NAM
Chile,2007,16530201,1.73606E+11,10502.35071,20,242,1.209906643,SAM
China,2007,1317885000,3.55034E+12,2693.970063,4420.7,9455.479096,3.354389799,Asia
Colombia,2007,43737512,2.06182E+11,4714.073055,0,338,0,SAM
Costa Rica,2007,4404626,26884700345,6103.741917,235.6,0,53.48921793,NAM
Croatia,2007,4310217,60542673503,14046.31681,0,0,0,Europe
Curacao,2007,144056,0,0,0,320,0,SAM
Czech Republic,2007,10298828,1.90184E+11,18466.54793,4,193.3915068,0.388393708,Europe
Denmark,2007,5461438,3.19423E+11,58487.05497,3127.2,188.7726027,572.596448,Europe
Ecuador,2007,14296554,51007777000,3567.837186,0,175,0,SAM
Egypt,2007,78232124,1.30438E+11,1667.317998,310.7,810,3.97151431,Africa
El Salvador,2007,6105810,17011750000,2786.157774,204.4,0,33.47631191,NAM
Ethiopia,2007,80674343,19707616773,244.2860523,7.3,0,0.090487257,Africa
Finland,2007,5288720,2.56053E+11,48414.84509,110,261.0684932,20.7989835,Europe
France,2007,64016227,2.65721E+12,41508.43269,2249,1961.96989,35.13171746,Europe
Germany,2007,82266372,3.42123E+12,41587.2129,26289,2390.383288,319.5594915,Europe
Greece,2007,11048473,3.18498E+11,28827.32639,855,425,77.38625962,Europe
Guatemala,2007,13477017,33567868323,2490.749127,54.2,0,4.02166147,NAM
Honduras,2007,7808520,12275500116,1572.064888,3.2,0,0.409808773,NAM
Hungary,2007,10055780,1.40228E+11,13944.97101,0,165,0,Europe
Iceland,2007,311566,21652505597,69495.72674,485,0,1556.652523,Europe
India,2007,1183209471,1.21674E+12,1028.334772,7869.599,2983.31,6.651061535,Asia
Indonesia,2007,232374239,4.32217E+11,1860.002811,980,1094.4,4.217334952,Asia
Iran,2007,71336476,3.49882E+11,4904.666183,63,1862,0.883138662,Asia
Iraq,2007,27911242,88837055195,3182.841351,0,738,0,Asia
Ireland,2007,4398942,2.69736E+11,61318.46603,740.5,75,168.3359317,Europe
Israel,2007,7180100,1.79162E+11,24952.54759,1.8,272,0.250692887,Asia
Italy,2007,58438310,2.21029E+12,37822.66524,3483,2377,59.60131291,Europe
Japan,2007,128001000,4.57975E+12,35779.02454,3968,4650.1778,30.99975781,Asia
Jordan,2007,6255290,17110587447,2735.378767,1.4,0,0.223810567,Asia
Kazakhstan,2007,15484192,1.0485E+11,6771.414797,0,330,0,Asia
Kenya,2007,38705934,31958195182,825.666555,128,0,3.306986469,Africa
South Korea,2007,24188330,0,0,277,0,11.45180341,Asia
Kuwait,2007,2504026,1.1464E+11,45782.14857,0,936,0,Asia
Lithuania,2007,3231294,39697891352,12285.44705,0,240.9863014,0,Europe
Malaysia,2007,26720367,1.93548E+11,7243.456801,0.45,534,0.016841086,Asia
Mexico,2007,109170503,1.0527E+12,9642.680517,1080,1463,9.892782119,NAM
Morocco,2007,31163670,79041294874,2536.328195,125.945,155.6369863,4.041404623,Africa
Netherlands,2007,16381696,8.47482E+11,51733.44213,1803,1236.28,110.0618642,Europe
New Zealand,2007,4223800,1.37189E+11,32479.98174,771,102.62,182.5370519,Oceania
Nicaragua,2007,5590066,7423421958,1327.966782,87.5,0,15.65276689,NAM
Nigeria,2007,146339971,2.75626E+11,1883.461388,0,445,0,Africa
Norway,2007,4709153,4.00937E+11,85139.96045,348,316,73.89863952,Europe
Oman,2007,2657162,42085379454,15838.46956,0,216,0,Asia
Pakistan,2007,167808106,1.52386E+11,908.0950852,0.14,274.7748702,0.000834286,Asia
Papua New Guinea,2007,6808503,9545177014,1401.949447,56,0,8.225009227,Oceania
Peru,2007,28333050,1.02171E+11,3606.070689,0,223,0,SAM
Philippines,2007,89405482,1.5598E+11,1744.639979,1880.5,269.8,21.03338585,Asia
Poland,2007,38120560,4.29029E+11,11254.51739,306,493.4596164,8.027164344,Europe
Portugal,2007,10542964,2.40191E+11,22782.09462,2250,306.494411,213.4124711,Europe
Qatar,2007,1218441,79712087912,65421.37692,0,137,0,Asia
Romania,2007,20882982,1.74585E+11,8360.166321,3,655,0.143657644,Europe
Russia,2007,142805114,1.29971E+12,9101.255049,100,5391,0.700255034,Asia
Saudi Arabia,2007,25184589,4.15965E+11,16516.63178,0,2102,0,Asia
Singapore,2007,4588599,1.80942E+11,39432.93835,0,1427,0,Asia
Slovakia,2007,5374622,86454081577,16085.61152,0,122,0,Europe
South Africa,2007,49119766,3.33075E+11,6780.884555,3.2,520,0.06514689,Africa
Spain,2007,45226803,1.47213E+12,32549.97098,15314,1361.572603,338.6045217,Europe
Sweden,2007,9148092,4.91253E+11,53700.00534,829,454,90.61998939,Europe
Switzerland,2007,7551117,4.93537E+11,65359.51922,37,140,4.899937321,Europe
Thailand,2007,66182064,2.62942E+11,3973.017172,33.15,1099.5,0.500890997,Asia
Trinidad and Tobago,2007,1308450,21641620050,16539.89075,0,165,0,NAM
Tunisia,2007,10304729,38914078352,3776.332046,19,0,1.843813651,Africa
Turkey,2007,69581854,6.81337E+11,9791.88245,172,613,2.47190884,Europe
Turkmenistan,2007,4870142,12664165103,2600.368758,0,251.0273973,0,Asia
Ukraine,2007,46509355,1.48734E+11,3197.934295,82,734,1.763086158,Europe
United Arab Emirates,2007,6168846,2.57916E+11,41809.46216,0,663,0,Asia
United Kingdom,2007,61322463,3.10618E+12,50653.25691,2495,1819.446575,40.68655886,Europe
United States,2007,301231207,1.44519E+13,47975.9677,19184,17594,63.68530071,NAM
Uruguay,2007,3331753,23410572634,7026.503055,0,0,0,SAM
Uzbekistan,2007,26868000,22311393928,830.4076942,0,232,0,Asia
Venezuela,2007,27247601,2.30364E+11,8454.469536,0,1303,0,SAM
Vietnam,2007,85419588,77414425532,906.2842299,3.424,14,0.040084483,Asia
Algeria,2008,34730604,1.71001E+11,4923.631615,0,444.4992329,0,Africa
Argentina,2008,40080159,3.61558E+11,9020.873323,27.8,628,0.693610023,SAM
Australia,2008,21249200,1.05513E+12,49654.9106,1530.376,733.9,72.02040547,Oceania
Austria,2008,8321496,4.30294E+11,51708.76575,1022.074,200.8219178,122.8233481,Europe
Azerbaijan,2008,8763400,48852482960,5574.603802,0,325,0,Asia
Bahrain,2008,1114645,25710904255,23066.45098,0,260,0,Asia
Bangladesh,2008,144304164,91631278239,634.9870697,0,36,0,Asia
Belarus,2008,9527985,60763483146,6377.369732,0,460,0,Europe
Belgium,2008,10709973,5.15224E+11,48106.89292,386,786,36.04117396,Europe
Brazil,2008,192030362,1.69586E+12,8831.183643,398,1976.504,2.072588917,SAM
Bulgaria,2008,7492561,54438966420,7265.735497,114,175,15.21509134,Europe
Canada,2008,33247118,1.55299E+12,46710.50558,2369,1951.420073,71.25429639,NAM
Chile,2008,16708255,1.79638E+11,10751.4816,20,242,1.197013093,SAM
China,2008,1324655000,4.59431E+12,3468.304602,8665.528,10388.77888,6.541724449,Asia
Colombia,2008,44254972,2.42187E+11,5472.53653,0,340,0,SAM
Costa Rica,2008,4463123,30801744881,6901.388306,235.6,0,52.78814857,NAM
Croatia,2008,4309705,70750646248,16416.58681,0,0,0,Europe
Curacao,2008,145880,0,0,0,320,0,SAM
Czech Republic,2008,10384603,2.36816E+11,22804.57768,40,193.3915068,3.851856446,Europe
Denmark,2008,5493621,3.53361E+11,64322.0635,3165.9,188.7726027,576.2865695,Europe
Ecuador,2008,14535740,61762635000,4249.01897,0,175,0,SAM
Egypt,2008,79636081,1.62818E+11,2044.527804,390.9,810,4.908579065,Africa
El Salvador,2008,6131767,17986890000,2933.39424,204.4,0,33.33459996,NAM
Ethiopia,2008,82916236,27066912635,326.4368228,7.3,0,0.088040658,Africa
Finland,2008,5313399,2.84554E+11,53554.03892,143,261.0684932,26.91309273,Europe
France,2008,64374979,2.91838E+12,45334.11796,3483,1970.605233,54.10487202,Europe
Germany,2008,82110097,3.73003E+12,45427.15168,28917,2366.284658,352.173497,Europe
Greece,2008,11077841,3.54461E+11,31997.28202,1034,425,93.33948736,Europe
Guatemala,2008,13739299,38503862831,2802.461962,54.2,0,3.944888309,NAM
Honduras,2008,7980955,13789443623,1727.793682,3.2,0,0.400954522,NAM
Hungary,2008,10038188,1.58374E+11,15777.19202,1,165,0.099619573,Europe
Iceland,2008,317414,18074622987,56943.37045,575,0,1811.5143,Europe
India,2008,1200669762,1.1989E+12,998.5223415,10270.223,2992.058706,8.553745022,Asia
Indonesia,2008,235469755,5.10229E+11,2166.854231,1052,1094.4,4.467665072,Asia
Iran,2008,72120608,4.12336E+11,5717.314148,63,1895,0.873536729,Asia
Iraq,2008,28385739,1.31614E+11,4636.639325,0,738,0,Asia
Ireland,2008,4489544,2.74327E+11,61103.51347,942.3,75,209.8876857,Europe
Israel,2008,7308800,2.16712E+11,29650.77025,3,275,0.410464098,Asia
